Specie;Minutos;Event;Day;Status
Tangara schranki T1_GVC08;10;Off;6;Middle
Tangara schranki T1_GVC08;40;On;6;Middle
Tangara schranki T1_GVC08;21;Off;6;Middle
Tangara schranki T1_GVC08;40;On;6;Middle
Tangara schranki T1_GVC08;79;Off;6;Middle
Tangara schranki T1_GVC08;15;On;6;Middle
Tangara schranki T1_GVC08;23;Off;6;Middle
Tangara schranki T1_GVC08;8;On;6;Middle
Tangara schranki T1_GVC08;36;Off;6;Middle
Tangara schranki T1_GVC08;27;On;6;Middle
Tangara schranki T1_GVC08;19;Off;6;Middle
Tangara schranki T1_GVC08;13;On;6;Middle
Tangara schranki T1_GVC08;9;Off;6;Middle
Tangara schranki T1_GVC08;16;On;6;Middle
Tangara schranki T1_GVC08;10;Off;6;Middle
Tangara schranki T1_GVC08;5;On;6;Middle
Tangara schranki T1_GVC08;11;Off;6;Middle
Tangara schrankii P13_RVA11;16;Off;6;Middle
Tangara schrankii P13_RVA11;29;On;6;Middle
Tangara schrankii P13_RVA11;31;Off;6;Middle
Tangara schrankii P13_RVA11;228;On;6;Middle
Tangara schrankii P13_RVA11;152;Off;6;Middle
Tangara schrankii P13_RVA11;191;On;6;Middle
Tangara schrankii P13_RVA11;47;Off;6;Middle
Tangara schrankii P14_JAG10;53;Off;6;Middle
Tangara schrankii P14_JAG10;110;On;6;Middle
Tangara schrankii P14_JAG10;43;Off;6;Middle
Tangara schrankii P14_JAG10;134;On;6;Middle
Tangara schrankii P14_JAG10;43;Off;6;Middle
Tangara schrankii P14_JAG10;150;On;6;Middle
Tangara schrankii P14_JAG10;77;Off;6;Middle
Tangara schrankii P14_JAG10;105;On;6;Middle
Tangara schrankii P14_JAG10;7;Off;6;Middle
Tangara schrankii P24_CAB10;55;Off;6;Middle
Tangara schrankii P24_CAB10;58;On;6;Middle
Tangara schrankii P24_CAB10;13;Off;6;Middle
Tangara schrankii P24_CAB10;48;On;6;Middle
Tangara schrankii P24_CAB10;18;Off;6;Middle
Tangara schrankii P24_CAB10;45;On;6;Middle
Tangara schrankii P24_CAB10;22;Off;6;Middle
Tangara schrankii P24_CAB10;153;On;6;Middle
Tangara schrankii P24_CAB10;62;Off;6;Middle
Tangara schrankii P24_CAB10;105;On;6;Middle
Tangara schrankii P24_CAB10;46;Off;6;Middle
Tangara schrankii P24_CAB10;31;On;6;Middle
Tangara schrankii P24_CAB10;11;Off;6;Middle
Tangara schrankii P3_CAB10;21;Off;6;Middle
Tangara schrankii P3_CAB10;72;On;6;Middle
Tangara schrankii P3_CAB10;71;Off;6;Middle
Tangara schrankii P3_CAB10;175;On;6;Middle
Tangara schrankii P3_CAB10;48;Off;6;Middle
Tangara schrankii P3_CAB10;148;On;6;Middle
Tangara schrankii P3_CAB10;28;Off;6;Middle
Tangara schrankii P3_CAB10;103;On;6;Middle
Tangara schrankii P3_CAB10;6;Off;6;Middle
Tangara schrankii P33_RVA11;17;Off;6;Middle
Tangara schrankii P33_RVA11;52;On;6;Middle
Tangara schrankii P33_RVA11;25;Off;6;Middle
Tangara schrankii P33_RVA11;59;On;6;Middle
Tangara schrankii P33_RVA11;35;Off;6;Middle
Tangara schrankii P33_RVA11;100;On;6;Middle
Tangara schrankii P33_RVA11;27;Off;6;Middle
Tangara schrankii P33_RVA11;92;On;6;Middle
Tangara schrankii P33_RVA11;20;Off;6;Middle
Tangara schrankii P33_RVA11;103;On;6;Middle
Tangara schrankii P33_RVA11;49;Off;6;Middle
Tangara schrankii T1_JAG08;34;Off;6;Middle
Tangara schrankii T1_JAG08;44;On;6;Middle
Tangara schrankii T1_JAG08;15;Off;6;Middle
Tangara schrankii T1_JAG08;33;On;6;Middle
Tangara schrankii T1_JAG08;28;Off;6;Middle
Tangara schrankii T1_JAG08;57;On;6;Middle
Tangara schrankii T1_JAG08;31;Off;6;Middle
Tangara schrankii T1_JAG08;43;On;6;Middle
Tangara schrankii T1_JAG08;20;Off;6;Middle
Tangara schrankii T1_JAG08;82;On;6;Middle
Tangara schrankii T1_JAG08;80;Off;6;Middle
Tangara schrankii T1_JAG08;81;On;6;Middle
Tangara schrankii T1_JAG08;24;Off;6;Middle
Tangara schrankii T1_JAG08;59;On;6;Middle
Tangara schrankii T1_JAG08;7;Off;6;Middle
Tangara schrankii T2_SDR08;82;On;6;Middle
Tangara schrankii T2_SDR08;57;Off;6;Middle
Tangara schrankii T2_SDR08;157;On;6;Middle
Tangara schrankii T2_SDR08;56;Off;6;Middle
Tangara schrankii T2_SDR08;82;On;6;Middle
Tangara schrankii T2_SDR08;38;Off;6;Middle
Tangara schrankii T2_SDR08;72;On;6;Middle
Tangara schrankii T2_SDR08;21;Off;6;Middle
Tangara shrankii P6 JAEC_10;28;Off;6;Middle
Tangara shrankii P6 JAEC_10;62;On;6;Middle
Tangara shrankii P6 JAEC_10;30;Off;6;Middle
Tangara shrankii P6 JAEC_10;141;On;6;Middle
Tangara shrankii P6 JAEC_10;73;Off;6;Middle
Tangara shrankii P6 JAEC_10;168;On;6;Middle
Tangara shrankii P6 JAEC_10;68;Off;6;Middle
Tangara shrankii P6 JAEC_10;55;On;6;Middle
Tangara shrankii P6 JAEC_10;50;Off;6;Middle
Tangara shrankii P7_JAG10;23;Off;6;Middle
Tangara shrankii P7_JAG10;56;On;6;Middle
Tangara shrankii P7_JAG10;33;Off;6;Middle
Tangara shrankii P7_JAG10;35;On;6;Middle
Tangara shrankii P7_JAG10;4;Off;6;Middle
Tangara shrankii P7_JAG10;71;On;6;Middle
Tangara shrankii P7_JAG10;45;Off;6;Middle
Tangara shrankii P7_JAG10;124;On;6;Middle
Tangara shrankii P7_JAG10;49;Off;6;Middle
Tangara shrankii P7_JAG10;4;On;6;Middle
Tangara shrankii P7_JAG10;23;Off;6;Middle
Tangara shrankii P7_JAG10;169;On;6;Middle
Tangara shrankii P7_JAG10;7;Off;6;Middle
Tangara shrankii T5_JAG08;26;Off;6;Middle
Tangara shrankii T5_JAG08;56;On;6;Middle
Tangara shrankii T5_JAG08;35;Off;6;Middle
Tangara shrankii T5_JAG08;52;On;6;Middle
Tangara shrankii T5_JAG08;20;Off;6;Middle
Tangara shrankii T5_JAG08;102;On;6;Middle
Tangara shrankii T5_JAG08;38;Off;6;Middle
Tangara shrankii T5_JAG08;48;On;6;Middle
Tangara shrankii T5_JAG08;30;Off;6;Middle
Tangara shrankii T5_JAG08;58;On;6;Middle
Tangara shrankii T5_JAG08;44;Off;6;Middle
Tangara shrankii T5_JAG08;49;On;6;Middle
Tangara shrankii T5_JAG08;23;Off;6;Middle
Tangara shrankii T5_JAG08;108;On;6;Middle
Tangara shrankii T5_JAG08;14;Off;6;Middle
Tangara schrankii P13_RVA11;22;Off;7;Middle
Tangara schrankii P13_RVA11;46;On;7;Middle
Tangara schrankii P13_RVA11;29;Off;7;Middle
Tangara schrankii P13_RVA11;236;On;7;Middle
Tangara schrankii P13_RVA11;184;Off;7;Middle
Tangara schrankii P24_CAB10;10;Off;7;Middle
Tangara schrankii P24_CAB10;40;On;7;Middle
Tangara schrankii P24_CAB10;8;Off;7;Middle
Tangara schrankii P24_CAB10;36;On;7;Middle
Tangara schrankii P24_CAB10;15;Off;7;Middle
Tangara schrankii P24_CAB10;47;On;7;Middle
Tangara schrankii P24_CAB10;30;Off;7;Middle
Tangara schrankii P24_CAB10;56;On;7;Middle
Tangara schrankii P24_CAB10;27;Off;7;Middle
Tangara schrankii P24_CAB10;64;On;7;Middle
Tangara schrankii P24_CAB10;26;Off;7;Middle
Tangara schrankii P24_CAB10;60;On;7;Middle
Tangara schrankii P24_CAB10;25;Off;7;Middle
Tangara schrankii P24_CAB10;61;On;7;Middle
Tangara schrankii P24_CAB10;59;Off;7;Middle
Tangara schrankii P3_CAB10;13;Off;7;Middle
Tangara schrankii P3_CAB10;29;On;7;Middle
Tangara schrankii P3_CAB10;11;Off;7;Middle
Tangara schrankii P3_CAB10;44;On;7;Middle
Tangara schrankii P3_CAB10;41;Off;7;Middle
Tangara schrankii P3_CAB10;60;On;7;Middle
Tangara schrankii P3_CAB10;13;Off;7;Middle
Tangara schrankii P3_CAB10;72;On;7;Middle
Tangara schrankii P3_CAB10;34;Off;7;Middle
Tangara schrankii P3_CAB10;79;On;7;Middle
Tangara schrankii P3_CAB10;19;Off;7;Middle
Tangara schrankii P3_CAB10;65;On;7;Middle
Tangara schrankii P3_CAB10;38;Off;7;Middle
Tangara schrankii P3_CAB10;100;On;7;Middle
Tangara schrankii P3_CAB10;32;Off;7;Middle
Tangara schrankii P33_RVA11;24;Off;7;Middle
Tangara schrankii P33_RVA11;65;On;7;Middle
Tangara schrankii P33_RVA11;37;Off;7;Middle
Tangara schrankii P33_RVA11;151;On;7;Middle
Tangara schrankii P33_RVA11;52;Off;7;Middle
Tangara schrankii P33_RVA11;163;On;7;Middle
Tangara schrankii P33_RVA11;91;Off;7;Middle
Tangara shrankii P6 JAEC_10;25;Off;7;Middle
Tangara shrankii P6 JAEC_10;46;On;7;Middle
Tangara shrankii P6 JAEC_10;35;Off;7;Middle
Tangara shrankii P6 JAEC_10;187;On;7;Middle
Tangara shrankii P6 JAEC_10;171;Off;7;Middle
Tangara shrankii P6 JAEC_10;174;On;7;Middle
Tangara shrankii P6 JAEC_10;42;Off;7;Middle
Tangara shrankii P7_JAG10;71;Off;7;Middle
Tangara shrankii P7_JAG10;71;On;7;Middle
Tangara shrankii P7_JAG10;29;Off;7;Middle
Tangara shrankii P7_JAG10;110;On;7;Middle
Tangara shrankii P7_JAG10;93;Off;7;Middle
Tangara shrankii P7_JAG10;71;On;7;Middle
Tangara shrankii P7_JAG10;60;Off;7;Middle
Tangara shrankii T5_JAG08;61;On;7;Middle
Tangara shrankii T5_JAG08;14;Off;7;Middle
Tangara shrankii T5_JAG08;77;On;7;Middle
Tangara shrankii T5_JAG08;30;Off;7;Middle
Tangara shrankii T5_JAG08;33;On;7;Middle
Tangara shrankii T5_JAG08;7;Off;7;Middle
Tangara shrankii T5_JAG08;51;On;7;Middle
Tangara shrankii T5_JAG08;17;Off;7;Middle
Tangara shrankii T5_JAG08;80;On;7;Middle
Tangara shrankii T5_JAG08;41;Off;7;Middle
Tangara shrankii T5_JAG08;99;On;7;Middle
Tangara shrankii T5_JAG08;46;Off;7;Middle
Tangara shrankii T5_JAG08;64;On;7;Middle
Tangara shrankii T5_JAG08;25;Off;7;Middle
Tangara shrankii T5_JAG08;84;On;7;Middle
Tangara shrankii T5_JAG08;3;Off;7;Middle
Tangara schrankii P13_RVA11;11;Off;8;Middle
Tangara schrankii P13_RVA11;88;On;8;Middle
Tangara schrankii P13_RVA11;31;Off;8;Middle
Tangara schrankii P13_RVA11;146;On;8;Middle
Tangara schrankii P13_RVA11;55;Off;8;Middle
Tangara schrankii P13_RVA11;301;On;8;Middle
Tangara schrankii P13_RVA11;47;Off;8;Middle
Tangara schrankii P24_CAB10;20;Off;8;Middle
Tangara schrankii P24_CAB10;45;On;8;Middle
Tangara schrankii P24_CAB10;28;Off;8;Middle
Tangara schrankii P24_CAB10;17;On;8;Middle
Tangara schrankii P24_CAB10;16;Off;8;Middle
Tangara schrankii P24_CAB10;59;On;8;Middle
Tangara schrankii P24_CAB10;15;Off;8;Middle
Tangara schrankii P24_CAB10;37;On;8;Middle
Tangara schrankii P24_CAB10;47;Off;8;Middle
Tangara schrankii P24_CAB10;101;On;8;Middle
Tangara schrankii P24_CAB10;28;Off;8;Middle
Tangara schrankii P24_CAB10;59;On;8;Middle
Tangara schrankii P24_CAB10;34;Off;8;Middle
Tangara schrankii P24_CAB10;116;On;8;Middle
Tangara schrankii P24_CAB10;22;Off;8;Middle
Tangara schrankii P3_CAB10;15;Off;8;Middle
Tangara schrankii P3_CAB10;38;On;8;Middle
Tangara schrankii P3_CAB10;13;Off;8;Middle
Tangara schrankii P3_CAB10;42;On;8;Middle
Tangara schrankii P3_CAB10;58;Off;8;Middle
Tangara schrankii P3_CAB10;24;On;8;Middle
Tangara schrankii P3_CAB10;45;Off;8;Middle
Tangara schrankii P3_CAB10;53;On;8;Middle
Tangara schrankii P3_CAB10;49;Off;8;Middle
Tangara schrankii P3_CAB10;44;On;8;Middle
Tangara schrankii P3_CAB10;25;Off;8;Middle
Tangara schrankii P3_CAB10;171;On;8;Middle
Tangara schrankii P3_CAB10;37;Off;8;Middle
Tangara schrankii P3_CAB10;95;On;8;Middle
Tangara schrankii P3_CAB10;3;Off;8;Middle
Tangara schrankii P33_RVA11;37;Off;8;Middle
Tangara schrankii P33_RVA11;55;On;8;Middle
Tangara schrankii P33_RVA11;29;Off;8;Middle
Tangara schrankii P33_RVA11;98;On;8;Middle
Tangara schrankii P33_RVA11;29;Off;8;Middle
Tangara schrankii P33_RVA11;157;On;8;Middle
Tangara schrankii P33_RVA11;62;Off;8;Middle
Tangara schrankii P33_RVA11;105;On;8;Middle
Tangara schrankii P33_RVA11;48;Off;8;Middle
Tangara schrankii P33_RVA11;62;On;8;Middle
Tangara schrankii P33_RVA11;10;Off;8;Middle
Tangara shrankii P6 JAEC_10;21;Off;8;Middle
Tangara shrankii P6 JAEC_10;120;On;8;Middle
Tangara shrankii P6 JAEC_10;21;Off;8;Middle
Tangara shrankii P6 JAEC_10;128;On;8;Middle
Tangara shrankii P6 JAEC_10;27;Off;8;Middle
Tangara shrankii P6 JAEC_10;64;On;8;Middle
Tangara shrankii P6 JAEC_10;17;Off;8;Middle
Tangara shrankii P6 JAEC_10;81;On;8;Middle
Tangara shrankii P6 JAEC_10;35;Off;8;Middle
Tangara shrankii P6 JAEC_10;49;On;8;Middle
Tangara shrankii P6 JAEC_10;56;Off;8;Middle
Tangara shrankii P7_JAG10;21;Off;8;Middle
Tangara shrankii P7_JAG10;64;On;8;Middle
Tangara shrankii P7_JAG10;22;Off;8;Middle
Tangara shrankii P7_JAG10;81;On;8;Middle
Tangara shrankii P7_JAG10;8;Off;8;Middle
Tangara shrankii P7_JAG10;7;On;8;Middle
Tangara shrankii P7_JAG10;10;Off;8;Middle
Tangara shrankii P7_JAG10;85;On;8;Middle
Tangara shrankii P7_JAG10;12;Off;8;Middle
Tangara shrankii P7_JAG10;39;On;8;Middle
Tangara shrankii P7_JAG10;7;Off;8;Middle
Tangara shrankii P7_JAG10;29;On;8;Middle
Tangara shrankii P7_JAG10;20;Off;8;Middle
Tangara shrankii P7_JAG10;42;On;8;Middle
Tangara shrankii P7_JAG10;21;Off;8;Middle
Tangara shrankii P7_JAG10;23;On;8;Middle
Tangara shrankii P7_JAG10;4;Off;8;Middle
Tangara shrankii P7_JAG10;45;On;8;Middle
Tangara shrankii P7_JAG10;25;Off;8;Middle
Tangara shrankii P7_JAG10;61;On;8;Middle
Tangara shrankii P7_JAG10;19;Off;8;Middle
Tangara shrankii T5_JAG08;11;Off;8;Middle
Tangara shrankii T5_JAG08;61;On;8;Middle
Tangara shrankii T5_JAG08;17;Off;8;Middle
Tangara shrankii T5_JAG08;61;On;8;Middle
Tangara shrankii T5_JAG08;16;Off;8;Middle
Tangara shrankii T5_JAG08;97;On;8;Middle
Tangara shrankii T5_JAG08;55;Off;8;Middle
Tangara shrankii T5_JAG08;84;On;8;Middle
Tangara shrankii T5_JAG08;42;Off;8;Middle
Tangara shrankii T5_JAG08;89;On;8;Middle
Tangara shrankii T5_JAG08;19;Off;8;Middle
Tangara shrankii T5_JAG08;68;On;8;Middle
Tangara shrankii T5_JAG08;33;Off;8;Middle
Tangara shrankii T5_JAG08;72;On;8;Middle
Tangara shrankii T5_JAG08;8;Off;8;Middle
Tangara schrankii P13_RVA11;45;Off;9;Middle
Tangara schrankii P13_RVA11;96;On;9;Middle
Tangara schrankii P13_RVA11;66;Off;9;Middle
Tangara schrankii P13_RVA11;166;On;9;Middle
Tangara schrankii P13_RVA11;91;Off;9;Middle
Tangara schrankii P13_RVA11;16;On;9;Middle
Tangara schrankii P13_RVA11;49;Off;9;Middle
Tangara schrankii P24_CAB10;10;Off;9;Middle
Tangara schrankii P24_CAB10;39;On;9;Middle
Tangara schrankii P24_CAB10;19;Off;9;Middle
Tangara schrankii P24_CAB10;43;On;9;Middle
Tangara schrankii P24_CAB10;36;Off;9;Middle
Tangara schrankii P24_CAB10;55;On;9;Middle
Tangara schrankii P24_CAB10;24;Off;9;Middle
Tangara schrankii P24_CAB10;83;On;9;Middle
Tangara schrankii P24_CAB10;43;Off;9;Middle
Tangara schrankii P24_CAB10;100;On;9;Middle
Tangara schrankii P24_CAB10;52;Off;9;Middle
Tangara schrankii P24_CAB10;44;On;9;Middle
Tangara schrankii P24_CAB10;17;Off;9;Middle
Tangara schrankii P24_CAB10;24;On;9;Middle
Tangara schrankii P24_CAB10;38;Off;9;Middle
Tangara schrankii P24_CAB10;101;On;9;Middle
Tangara schrankii P24_CAB10;2;Off;9;Middle
Tangara schrankii P3_CAB10;9;Off;9;Middle
Tangara schrankii P3_CAB10;32;On;9;Middle
Tangara schrankii P3_CAB10;10;Off;9;Middle
Tangara schrankii P3_CAB10;57;On;9;Middle
Tangara schrankii P3_CAB10;26;Off;9;Middle
Tangara schrankii P3_CAB10;26;On;9;Middle
Tangara schrankii P3_CAB10;5;Off;9;Middle
Tangara schrankii P3_CAB10;37;On;9;Middle
Tangara schrankii P3_CAB10;6;Off;9;Middle
Tangara schrankii P3_CAB10;90;On;9;Middle
Tangara schrankii P3_CAB10;16;Off;9;Middle
Tangara schrankii P3_CAB10;56;On;9;Middle
Tangara schrankii P3_CAB10;10;Off;9;Middle
Tangara schrankii P3_CAB10;41;On;9;Middle
Tangara schrankii P3_CAB10;22;Off;9;Middle
Tangara schrankii P3_CAB10;40;On;9;Middle
Tangara schrankii P3_CAB10;6;Off;9;Middle
Tangara schrankii P3_CAB10;66;On;9;Middle
Tangara schrankii P3_CAB10;21;Off;9;Middle
Tangara schrankii P3_CAB10;56;On;9;Middle
Tangara schrankii P3_CAB10;15;Off;9;Middle
Tangara schrankii P3_CAB10;75;On;9;Middle
Tangara schrankii P3_CAB10;2;Off;9;Middle
Tangara schrankii P33_RVA11;37;Off;9;Middle
Tangara schrankii P33_RVA11;97;On;9;Middle
Tangara schrankii P33_RVA11;8;Off;9;Middle
Tangara schrankii P33_RVA11;2;On;9;Middle
Tangara schrankii P33_RVA11;33;Off;9;Middle
Tangara schrankii P33_RVA11;56;On;9;Middle
Tangara schrankii P33_RVA11;19;Off;9;Middle
Tangara schrankii P33_RVA11;155;On;9;Middle
Tangara schrankii P33_RVA11;59;Off;9;Middle
Tangara schrankii P33_RVA11;195;On;9;Middle
Tangara schrankii P33_RVA11;31;Off;9;Middle
Tangara shrankii P6 JAEC_10;27;Off;9;Middle
Tangara shrankii P6 JAEC_10;145;On;9;Middle
Tangara shrankii P6 JAEC_10;58;Off;9;Middle
Tangara shrankii P6 JAEC_10;71;On;9;Middle
Tangara shrankii P6 JAEC_10;48;Off;9;Middle
Tangara shrankii P6 JAEC_10;149;On;9;Middle
Tangara shrankii P6 JAEC_10;52;Off;9;Middle
Tangara shrankii P6 JAEC_10;118;On;9;Middle
Tangara shrankii P6 JAEC_10;6;Off;9;Middle
Tangara shrankii P7_JAG10;43;Off;9;Middle
Tangara shrankii P7_JAG10;45;On;9;Middle
Tangara shrankii P7_JAG10;23;Off;9;Middle
Tangara shrankii P7_JAG10;99;On;9;Middle
Tangara shrankii P7_JAG10;55;Off;9;Middle
Tangara shrankii P7_JAG10;51;On;9;Middle
Tangara shrankii P7_JAG10;31;Off;9;Middle
Tangara shrankii P7_JAG10;74;On;9;Middle
Tangara shrankii P7_JAG10;9;Off;9;Middle
Tangara shrankii P7_JAG10;68;On;9;Middle
Tangara shrankii P7_JAG10;56;Off;9;Middle
Tangara shrankii P7_JAG10;120;On;9;Middle
Tangara shrankii P7_JAG10;4;Off;9;Middle
Tangara schrankii P13_RVA11;23;Off;10;Middle
Tangara schrankii P13_RVA11;106;On;10;Middle
Tangara schrankii P13_RVA11;73;Off;10;Middle
Tangara schrankii P13_RVA11;145;On;10;Middle
Tangara schrankii P13_RVA11;63;Off;10;Middle
Tangara schrankii P13_RVA11;137;On;10;Middle
Tangara schrankii P13_RVA11;11;Off;10;Middle
Tangara schrankii P13_RVA11;115;On;10;Middle
Tangara schrankii P13_RVA11;22;Off;10;Middle
Tangara schrankii P24_CAB10;23;Off;10;Middle
Tangara schrankii P24_CAB10;48;On;10;Middle
Tangara schrankii P24_CAB10;34;Off;10;Middle
Tangara schrankii P24_CAB10;61;On;10;Middle
Tangara schrankii P24_CAB10;61;Off;10;Middle
Tangara schrankii P24_CAB10;72;On;10;Middle
Tangara schrankii P24_CAB10;33;Off;10;Middle
Tangara schrankii P24_CAB10;89;On;10;Middle
Tangara schrankii P24_CAB10;18;Off;10;Middle
Tangara schrankii P24_CAB10;54;On;10;Middle
Tangara schrankii P24_CAB10;39;Off;10;Middle
Tangara schrankii P24_CAB10;109;On;10;Middle
Tangara schrankii P24_CAB10;7;Off;10;Middle
Tangara schrankii P3_CAB10;192;Off;10;Middle
Tangara schrankii P3_CAB10;43;On;10;Middle
Tangara schrankii P3_CAB10;8;Off;10;Middle
Tangara schrankii P3_CAB10;24;On;10;Middle
Tangara schrankii P3_CAB10;7;Off;10;Middle
Tangara schrankii P3_CAB10;48;On;10;Middle
Tangara schrankii P3_CAB10;36;Off;10;Middle
Tangara schrankii P3_CAB10;18;On;10;Middle
Tangara schrankii P3_CAB10;18;Off;10;Middle
Tangara schrankii P3_CAB10;94;On;10;Middle
Tangara schrankii P3_CAB10;41;Off;10;Middle
Tangara schrankii P3_CAB10;71;On;10;Middle
Tangara schrankii P3_CAB10;82;Off;10;Middle
Tangara schrankii P3_CAB10;95;On;10;Middle
Tangara schrankii P3_CAB10;34;Off;10;Middle
Tangara schrankii P33_RVA11;35;Off;10;Middle
Tangara schrankii P33_RVA11;52;On;10;Middle
Tangara schrankii P33_RVA11;35;Off;10;Middle
Tangara schrankii P33_RVA11;36;On;10;Middle
Tangara schrankii P33_RVA11;27;Off;10;Middle
Tangara schrankii P33_RVA11;69;On;10;Middle
Tangara schrankii P33_RVA11;12;Off;10;Middle
Tangara schrankii P33_RVA11;171;On;10;Middle
Tangara schrankii P33_RVA11;44;Off;10;Middle
Tangara schrankii P33_RVA11;115;On;10;Middle
Tangara schrankii P33_RVA11;16;Off;10;Middle
Tangara schrankii P33_RVA11;89;On;10;Middle
Tangara schrankii P33_RVA11;16;Off;10;Middle
Tangara shrankii P6 JAEC_10;25;Off;10;Middle
Tangara shrankii P6 JAEC_10;168;On;10;Middle
Tangara shrankii P6 JAEC_10;72;Off;10;Middle
Tangara shrankii P6 JAEC_10;40;On;10;Middle
Tangara shrankii P6 JAEC_10;37;Off;10;Middle
Tangara shrankii P6 JAEC_10;159;On;10;Middle
Tangara shrankii P6 JAEC_10;69;Off;10;Middle
Tangara shrankii P6 JAEC_10;91;On;10;Middle
Tangara shrankii P6 JAEC_10;5;Off;10;Middle
Tangara schrankii P13_RVA11;19;Off;11;Late
Tangara schrankii P13_RVA11;65;On;11;Late
Tangara schrankii P13_RVA11;35;Off;11;Late
Tangara schrankii P13_RVA11;126;On;11;Late
Tangara schrankii P13_RVA11;88;Off;11;Late
Tangara schrankii P13_RVA11;9;On;11;Late
Tangara schrankii P13_RVA11;16;Off;11;Late
Tangara schrankii P13_RVA11;200;On;11;Late
Tangara schrankii P13_RVA11;36;Off;11;Late
Tangara schrankii P13_RVA11;32;On;11;Late
Tangara schrankii P13_RVA11;51;Off;11;Late
Tangara schrankii P13_RVA11;15;On;11;Late
Tangara schrankii P13_RVA11;23;Off;11;Late
Tangara schrankii P24_CAB10;16;Off;11;Late
Tangara schrankii P24_CAB10;56;On;11;Late
Tangara schrankii P24_CAB10;18;Off;11;Late
Tangara schrankii P24_CAB10;68;On;11;Late
Tangara schrankii P24_CAB10;26;Off;11;Late
Tangara schrankii P24_CAB10;28;On;11;Late
Tangara schrankii P24_CAB10;26;Off;11;Late
Tangara schrankii P24_CAB10;38;On;11;Late
Tangara schrankii P24_CAB10;32;Off;11;Late
Tangara schrankii P24_CAB10;42;On;11;Late
Tangara schrankii P24_CAB10;54;Off;11;Late
Tangara schrankii P24_CAB10;79;On;11;Late
Tangara schrankii P24_CAB10;41;Off;11;Late
Tangara schrankii P24_CAB10;157;On;11;Late
Tangara schrankii P24_CAB10;5;Off;11;Late
Tangara shrankii P6 JAEC_10;31;Off;11;Late
Tangara shrankii P6 JAEC_10;208;On;11;Late
Tangara shrankii P6 JAEC_10;67;Off;11;Late
Tangara shrankii P6 JAEC_10;169;On;11;Late
Tangara shrankii P6 JAEC_10;36;Off;11;Late
Tangara shrankii P6 JAEC_10;100;On;11;Late
Tangara shrankii P6 JAEC_10;22;Off;11;Late
Tangara schrankii P13_RVA11;21;Off;12;Late
Tangara schrankii P13_RVA11;9;On;12;Late
Tangara schrankii P13_RVA11;20;Off;12;Late
Tangara schrankii P13_RVA11;11;On;12;Late
Tangara schrankii P13_RVA11;18;Off;12;Late
Tangara schrankii P13_RVA11;7;On;12;Late
Tangara schrankii P13_RVA11;17;Off;12;Late
Tangara schrankii P13_RVA11;21;On;12;Late
Tangara schrankii P13_RVA11;21;Off;12;Late
Tangara schrankii P13_RVA11;20;On;12;Late
Tangara schrankii P13_RVA11;19;Off;12;Late
Tangara schrankii P13_RVA11;3;On;12;Late
Tangara schrankii P13_RVA11;56;Off;12;Late
Tangara schrankii P13_RVA11;14;On;12;Late
Tangara schrankii P13_RVA11;63;Off;12;Late
Tangara schrankii P13_RVA11;20;On;12;Late
Tangara schrankii P13_RVA11;77;Off;12;Late
Tangara schrankii P13_RVA11;52;On;12;Late
Tangara schrankii P13_RVA11;40;Off;12;Late
Tangara schrankii P13_RVA11;11;On;12;Late
Tangara schrankii P13_RVA11;35;Off;12;Late
Tangara schrankii P13_RVA11;26;On;12;Late
Tangara schrankii P13_RVA11;77;Off;12;Late
Tangara schrankii P24_CAB10;33;Off;12;Late
Tangara schrankii P24_CAB10;11;On;12;Late
Tangara schrankii P24_CAB10;6;Off;12;Late
Tangara schrankii P24_CAB10;65;On;12;Late
Tangara schrankii P24_CAB10;54;Off;12;Late
Tangara schrankii P24_CAB10;32;On;12;Late
Tangara schrankii P24_CAB10;65;Off;12;Late
Tangara schrankii P24_CAB10;33;On;12;Late
Tangara schrankii P24_CAB10;10;Off;12;Late
Tangara schrankii P24_CAB10;32;On;12;Late
Tangara schrankii P24_CAB10;20;Off;12;Late
Tangara schrankii P24_CAB10;63;On;12;Late
Tangara schrankii P24_CAB10;7;Off;12;Late
Tangara schrankii P24_CAB10;63;On;12;Late
Tangara schrankii P24_CAB10;69;Off;12;Late
Tangara schrankii P24_CAB10;67;On;12;Late
Tangara schrankii P24_CAB10;17;Off;12;Late
Tangara shrankii P6 JAEC_10;22;Off;12;Late
Tangara shrankii P6 JAEC_10;164;On;12;Late
Tangara shrankii P6 JAEC_10;48;Off;12;Late
Tangara shrankii P6 JAEC_10;190;On;12;Late
Tangara shrankii P6 JAEC_10;54;Off;12;Late
Tangara shrankii P6 JAEC_10;116;On;12;Late
Tangara shrankii P6 JAEC_10;53;Off;12;Late
Tangara shrankii P6 JAEC_10;26;Off;13;Late
Tangara shrankii P6 JAEC_10;90;On;13;Late
Tangara shrankii P6 JAEC_10;44;Off;13;Late
Tangara shrankii P6 JAEC_10;112;On;13;Late
Tangara shrankii P6 JAEC_10;93;Off;13;Late
Tangara shrankii P6 JAEC_10;152;On;13;Late
Tangara shrankii P6 JAEC_10;31;Off;13;Late
Tangara shrankii P6 JAEC_10;34;Off;13;Late
Tangara shrankii P6 JAEC_10;35;Off;14;Late
Tangara shrankii P6 JAEC_10;84;On;14;Late
Tangara shrankii P6 JAEC_10;32;Off;14;Late
